Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
204,V1 | V21,0.6163246849806635,0.5718656029423306,0.17455369362894613,0.6637643234422259,0.47313912665482977,0.94970842338833,0.1716927648582726,0.16102883154164202,0.008470032898531852,0.9087917178415804,0.06924437158183765,0.6031975820664836,1.1263466650039509,3.856825331543735,0.41188763010348467
205,V3 | V23,0.6500968331592463,0.5009305685155971,0.32612114624833605,0.7349784947634301,0.46404344956733684,0.9461848972220575,0.06911195283904378,0.12760297303994889,0.0034945372032234175,0.793310837990113,0.06766342697564316,0.5153979125775056,2.7574854528810553,1.3656126268089934,0.4115715954468518
206,V15 | V17,0.5166920875445629,0.4504446241995251,0.5537314588676477,0.7182727613404406,0.4075911262666472,0.8508058845593216,0.05343313879633946,0.281414791196682,0.023785307034276476,0.965333609812962,0.17866740945444481,0.5328918307252147,1.6798735458956346,0.8157130933671876,0.41069661595567003
207,V14 | V26,0.5268365952491095,0.5323797580127755,0.6343155953847366,0.7114675023315098,0.5378705335606782,0.436444206715148,0.024011498891196897,0.4172540633688191,0.09090603394072327,0.9936396171570964,0.07846577024500487,0.4350458476880892,4.197443453123219,0.2960566945218775,0.4093173562612243
208,V7 | V20,0.6861573249028203,0.5919635851810647,0.24357599585107778,0.6610102378369482,0.46800592997228235,0.9282579512498208,0.0322039949622075,0.2553349732693538,0.0018548531820557572,0.763085806929265,0.027803534255590606,0.6012853577651206,7.40177436935211,0.4254713680655603,0.40896139326662895
209,V14 | V15,0.5399877069813377,0.514452243763687,0.6109349808308895,0.7138070692238753,0.5237399081877222,0.43812803269708817,0.03901558733272697,0.45020100712385436,0.09315343679289863,0.9720885856004875,0.09584044781746726,0.3336185605201708,2.484792637569229,0.710007964739152,0.4088828862390445
210,V9 | V20,0.6147216844231616,0.5367436370439183,0.5616884731147735,0.4314891235866847,0.3989856641924803,0.8855970539652995,0.03456811432479771,0.4149558331711947,0.007171369949843331,0.9776825781084871,0.02889066809400718,0.4798305771221422,4.621238957071142,0.552193910009571,0.40606025403818213
211,V3 | V25,0.5126946919685752,0.43944975341130654,0.35810206358673435,0.721328440422465,0.40716864333874114,0.8675301061133677,0.08965763778634366,0.40770946254892004,0.0736890275540448,0.9532949220816049,0.2167266096792397,0.5685292745397308,1.2492341629102928,1.6914553396929648,0.4032766155577596
212,V18 | V20,0.6129044898256478,0.488928335177283,0.7023426660124813,0.4049578469914876,0.34487357971140364,0.8645891795370444,0.026938805856280095,0.4510586128796605,0.0072089287203456085,0.8433356041502805,0.030165899760909557,0.47280497748423655,5.232741303131178,0.3696789146956217,0.4027616132579977
213,V17 | V24,0.4731634044214599,0.49355415480184717,0.6116323881893141,0.7195735098058859,0.41928058658830436,0.7086289442731175,0.04859288235832885,0.2664324531014341,0.023697539373314234,0.9231156550828553,0.146326022459999,0.4708810915750276,1.7873427800215438,0.7607879167109052,0.40259759062214806
214,V21 | V27,0.74770600893611,0.5680716317554517,0.4113877354881656,0.3276590510322487,0.49773481586861446,0.9388242390644687,0.022503148600412106,0.24600378985694718,0.003662939980996164,0.9607054639433004,0.009194463336381083,0.6614605401598127,12.528756426684263,0.14720391903590277,0.4025875476831539
215,V2 | V20,0.666046604424987,0.5740220155602065,0.3143655065658114,0.5256037614352453,0.45521642429331155,0.9353091795817212,0.07038537169298534,0.16768217681658068,0.004930736677547041,0.9401937675334607,0.021269616901150697,0.6323688159328367,3.1867412733453477,1.3104776168520378,0.40235429100582715
216,V5 | V27,0.6848594627941659,0.514275787941368,0.44041505543429915,0.5091647179826028,0.4056918998774263,0.8748022695904379,0.02477785235247255,0.32051726899783484,0.0036675487227175825,0.9813387832520913,0.010920341837501821,0.4501044646788204,8.0984756306277,0.38428413008522944,0.40105570268597096
